X,Y,Z
-4.066389,36.760278,61.000
-4.066111,36.760278,62.000
-4.065833,36.760278,63.000
-4.065556,36.760278,63.000
-4.065278,36.760278,64.000
-4.065000,36.760278,64.000
-4.064722,36.760278,64.000
-4.064444,36.760278,65.000
-4.064167,36.760278,65.000
-4.063889,36.760278,66.000
-4.063611,36.760278,66.000
-4.063333,36.760278,66.000
-4.063056,36.760278,67.000
-4.062778,36.760278,67.000
-4.062500,36.760278,67.000
-4.062222,36.760278,67.000
-4.061944,36.760278,68.000
-4.061667,36.760278,68.000
-4.061389,36.760278,68.000
-4.061111,36.760278,68.000
-4.060833,36.760278,68.000
-4.060556,36.760278,69.000
-4.060278,36.760278,69.000
-4.060000,36.760278,69.000
-4.059722,36.760278,69.000
-4.059444,36.760278,70.000
-4.059167,36.760278,70.000
-4.058889,36.760278,70.000
-4.058611,36.760278,71.000
-4.058333,36.760278,71.000
-4.058056,36.760278,71.000
-4.057778,36.760278,72.000
-4.057500,36.760278,72.000
-4.057222,36.760278,72.000
-4.056944,36.760278,73.000
-4.056667,36.760278,73.000
